SampleID,Location,Latitude,Longitude,Replicate,Date,Species,abb,Species_photo#,Shoot_number,Canopy_photo#,Canopyheight_1,C_note1,Canopyheight_2,C_note2,Canopyheight_3,C_note3,Canopyheight_4,C_note4,Canopyheight_5,C_note5,Canopyheight_6,C_note6,Canopyheight_7,C_note7,Canopyheight_8,C_note8,Canopyheight_9,C_note9,Canopyheight_10,C_note10,Leaf_photo#,Leaflength_1,L_note1,Leaflength_2,L_note2,Leaflength_3,L_note3,Leaflength_4,L_note4,Leaflength_5,L_note5,Leaflength_6,L_note6,Leaflength_7,L_note7,Leaflength_8,L_note8,Leaflength_9,L_note9,Leaflength_10,L_note10,Leafwidth_1,Leafwidth_2,Leafwidth_3,Leafwidth_4,Leafwidth_5,Leafwidth_6,Leafwidth_7,Leafwidth_8,Leafwidth_9,Leafwidth_10,Root_photo#,Rootlength_1,Rootlength_2,Rootlength_3,Rootlength_4,Rootlength_5,Rootlength_6,Rootlength_7,R_note7,Rootlength_8,Rootlength_9,Rootlength_10,R_note10,Rhizomediameter_1,Rhizomediameter_2,Rhizomediameter_3,Rhizomediameter_4,Rhizomediameter_5,Rhizomediameter_6,Rhizomediameter_7,Rhizomediameter_8,Rhizomediameter_9,Rhizomediameter_10,Internodelength_1,Internodelength_2,Internodelength_3,Internodelength_4,Internodelength_5,Internodelength_6,Internodelength_7,Internodelength_8,Internodelength_9,Internodelength_10,Aboveground_photo#,Aboveground_wet_mass,Aboveground_dry_mass1,Aboveground_dry_mass2,Aboveground_dry_mass3,Belowground_photo#,Belowground_wet_mass,Belowground_dry_mass1,Belowground_dry_mass2,Belowground_dry_mass3,Flower_seed,Pack,Note1,Note2,Note3,Note4,Note5
PALSUB6_2409222,Pallarenda_subtidal,-19.21134202,146.780256,6,24/09/2022,Halophila spinulosa,HS,P2143410,2,P2143409,39.47,,40.25,,,,,,,,,,,,,,,,,,P2143411,14.45,,13.12,,13.87,,14.46,,13.97,,15.2,,14.93,,13.36,,15.66,,14.96,,2.95,2.85,2.95,3.37,3.16,3.04,3.69,3.25,3.14,3.23,P2143409,22.24,48.76,,,,,,,,,,,0.84,0.7,0.87,,,,,,,,44.7,32.51,,,,,,,,,P2143412,409.1,19.8,19.6,,P2143413,120.5,10.2,10,,0,yes,W/L in order,Leaf measurement are actually leaflet,,,
PIC1_100922,Picnic_bay,-19.18040399,146.838669,1,10/09/2022,Holudule uninervis wide,HUW,P2113270,17,P2113271,63.08,C,73.49,C,54.75,C,55.14,C,56.15,C,65.18,C,68.27,C,49.9,C,49.15,C,60.16,C,P2113272,48.25,,59.63,,69.92,,44.97,,71.59,,34.75,,69.34,,37.39,,47.87,,57.62,,2.97,2.88,3.18,3.22,3.06,3.2,2.87,3.56,2.7,3.29,P2113271,50.15,15.74,37.3,84.95,50.88,23.45,34.15,,22.32,50.94,45.75,,1.26,1.1,1.24,0.86,0.9,0.81,0.89,0.88,1.16,0.95,29.69,21.76,15.19,25.17,17.6,10.68,16.33,19.22,19.68,,P2113273,3879.6,274.6,274.7,,P2113274,3112.6,265,265.3,,0,yes,W/L in order,,,,
PIC1_100922,Picnic_bay,-19.18040399,146.838669,1,10/09/2022,Cymodocea serrulata,CS,P2113275,4,P2113276,72.55,,85.24,,87.08,C,,,,,,,,,,,,,,,P2113277,54.52,,55.78,C,82.94,,79.33,,86.73,C,58.17,,72.43,,78.08,C,68.52,,97.85,,6.57,6.18,6.01,6.2,6.56,6.34,6.14,5.78,6.76,6.87,P2113276,65.88,20.31,35.19,23.02,24.54,,,,,,,,2.39,1.29,2.46,,,,,,,,,,,,,,,,,,P2113279,4914.4,416.5,407.4,,P2113280,1093.6,88.9,90.8,,0,yes,W/L in order,No clear node for measurment. See P2113278,First sample of CS. Belowground part might not be collected completely due to deep rhizome.,,
PIC1_100922,Picnic_bay,-19.18040399,146.838669,1,10/09/2022,Halophila ovalis,HO,P2113281,29,P2113285,31.22,,28.67,,30.24,,40.41,,35.53,,39.64,,29.75,,41.87,,14.24,,36.09,,P2113285,19.64,,17.08,,20.71,,16.63,,15.15,,16.17,,20.26,,18.68,,22.61,,18.54,,8.18,8,8.67,9.04,6.84,6.5,9.05,8.62,10.07,8.67,P2113285,28.07,16.64,18.42,9.1,19.42,14.08,26.11,,38.49,23.62,24.93,,0.81,1.11,0.97,1.02,1.25,0.7,0.66,0.58,0.48,0.75,16.45,15.97,9.68,17.25,15.2,37.86,23.97,27.24,14.85,10.9,P2113286,4376.5,244.9,248.4,,P2113287,3896.4,176.6,175.6,,10,yes,W/L in order,"Could actually be 10 to 15 seed/flower. Some are hard to identify. See P2113283, P2113284",,,
PIC2_100922,Picnic_bay,-19.18038203,146.838765,2,10/09/2022,Holudule uninervis wide,HUW,P2123325,48,P2123326,48.69,,41.77,C,39.43,,62.67,,39.33,,28.57,,35.38,,44.12,,47.47,C,39.18,,P2123327,64.52,,35.88,,25.12,,27.78,,46.99,,32.42,,39.49,,40.73,,61.18,,49.83,,2.87,2.8,2.78,3.06,2.38,2.5,2.16,2.84,2.8,2.63,P2123326,37.18,43.84,30.32,17.8,50.29,37.85,22.27,,34.74,35.26,21.47,,1.18,0.95,0.79,0.86,0.74,0.79,1.13,1.17,0.92,0.96,14.55,16.16,9.83,18.31,16.44,13.21,14.34,13.96,9.83,11.89,P2123330,4151.2,257,255.7,,P2123331,12329.6,1189.4,1188.6,,1,yes,W/L in order,"Fruit/seed photo: P2123328, P2123329 ",,,
PIC2_100922,Picnic_bay,-19.18038203,146.838765,2,10/09/2022,Halophila ovalis,HO,P2123332,19,P2123333,19.08,,17.22,,17.02,,20.39,,21.23,,24.39,,21.23,,22.71,,18.73,,17.63,,P2123333,11.28,,12.7,,13.65,,13.4,,17.52,,13.84,,14.79,,13.34,,12.26,,10.39,,6.26,6.25,7.19,6.48,8.89,7.75,6.74,6.25,5.66,5.59,P2123333,34.49,25.99,21.09,16.56,17.79,40.48,28.86,,14.28,22.02,19.27,,0.88,0.71,0.83,1.03,1.15,0.84,0.95,1.04,0.77,0.89,31.55,13.62,29.67,19.57,14.46,19.76,6.68,10.08,20.1,30.47,P2123334,1006.4,50.9,50.6,,P2123335,2867.5,123.8,122.2,,0,yes,W/L in order,,,,
PIC2_100922,Picnic_bay,-19.18038203,146.838765,2,10/09/2022,Thalassia hemprichii,TH,P2123336,7,P2123337,67.43,,63.14,,64.86,,,,,,,,,,,,,,,,P2123338,58.67,,62.65,,40.47,,65.78,,68.16,,44.57,,53.71,B,47.47,B,66.35,,64.47,,6.29,6.18,6.24,5.67,6.07,5.83,5.21,4.87,5.13,5.96,P2123337,16.37,17.48,14.64,14.04,16.58,,,,,,,,2.71,3,,,,,,,,,19.56,,,,,,,,,,P2123339,6748.1,366.1,362.7,,P2123340,3407.4,357..8,351.8,,0,yes,W/L in order,Belowground part might not be clooected completely due to deep rhizome and first unexperience sample,Only 3 shoots have leaves,,
PIC4_100922,Picnic_bay,-19.18040098,146.838779,4,10/09/2022,Halophila ovalis,HO,P2133341,11,P2133342,19.14,,29.69,,18.06,,15.88,,14.59,,23.43,,22.32,,27.48,,20.58,,13.2,,P2133342,14.84,,12.6,,13.65,,10.36,,14.77,,11.01,,13.36,,15.8,,14.32,,12.62,,6.3,5.4,7.84,5.33,6.42,5.17,5.85,7.28,6.92,8.18,P2133342,33.29,33.11,40.7,25.12,17.75,34.04,18,,19.33,37.42,24.84,,0.79,0.96,0.74,0.66,0.98,0.61,0.9,0.95,0.76,1.09,29.07,13.4,12.06,18.63,27.43,13.32,10.34,24.3,11.7,14.73,P2133343,738.7,41.5,42.8,,P2133344,1845.3,115.4,119.1,,2,yes,W/L in order,,,,
PIC4_100922,Picnic_bay,-19.18040098,146.838779,4,10/09/2022,Holudule uninervis wide,HUW,P2133345,66,P2133346,47.86,C,52.76,C,52.89,C,35.04,,49.53,,36.5,C,53.81,,34.16,,54.75,,53.32,,P2133348,38.36,,20.78,,57.97,,55.9,,36.83,,14.34,,53.29,,32.69,,49.02,,13.23,,2.53,2.88,3.17,1.88,2.09,2.19,2.21,2.56,2.04,1.97,P2133346,66.87,76,30.66,41.76,13.01,34.28,43.78,,24.22,69.27,25.12,,0.74,1.59,1.09,0.88,1.11,1.37,0.92,1.18,1.2,0.93,17.6,16.34,6.54,14.6,10.26,24.29,13.47,13.69,14.48,8.17,P2133349,8474.2,525.9,531.1,,P2133350,30952.8,2548.3,2554.7,,8,yes,W/L in order,,,,
PIC4_100922,Picnic_bay,-19.18040098,146.838779,4,10/09/2022,Thalassia hemprichii,TH,P2133351,4,P2133352,92.83,,86.04,C,91.5,C,85.39,C,,,,,,,,,,,,,P2133353,89.88,C,87.64,,52.45,,66.79,,85.21,C,82.67,C,66.77,C,78.63,C,67.23,C,66.69,,6.41,6.82,6.82,6.7,6.62,6.65,6.59,6.66,6.83,6.86,P2133352,40.54,28.96,14.75,15.2,13.46,7.63,18.86,,10.14,37.29,17.66,,2.78,2.06,2.65,,,,,,,,,,,,,,,,,,P2133355,9778.2,462.6,467.1,,P2133356,5494.4,509.9,514.5,,0,yes,W/L in order,Belowground part might not be clooected completely due to deep rhizome and first unexperience sample,No clear node can be measure for internode distance,,
PIC8_240123,Picnic_bay,-19.17996897,146.838989,8,24/01/2023,Holudule uninervis wide,HUW,P2143372,76,P2143373,102.51,,47.5,,46.55,,49.57,,39.85,,54.76,,56.97,,51.38,,66.42,,52.18,,P2143374,41.94,,19.19,,31.87,,34.55,,63.82,,102.18,,53.98,,56.67,,24.41,,54.97,,2.75,2.18,2.38,2.68,1.33,1.42,2.64,2.71,2.62,2.75,P2143373,29.04,40.41,12.3,32.83,65.61,65.46,21.75,,15.13,20.51,12.12,,0.94,0.69,1.05,1.09,0.73,1.08,1.14,0.96,0.88,0.76,9.85,7.01,7.59,10.43,12.64,11.85,15.16,12.94,13.49,14.1,P2143375,7646,419.9,417.4,,P2143376,9683.5,1025.9,1020.9,,0,yes,W/L in order,,,,
PIC8_240123,Picnic_bay,-19.17996897,146.838989,8,24/01/2023,Cymodocea serrulata,CS,P2143377,4,P2143378,52.05,,56.76,,25.81,C,24.35,C,,,,,,,,,,,,,P2143379,33.69,,57.08,,20.72,C,53.01,,24.07,C,25.54,C,24.19,C,25.1,C,,,,,5.78,5.93,6.13,5.92,4.67,4.59,6.58,5.92,,,P2143378,13.44,32.06,39.74,19.82,19.19,30.6,30.49,,22.48,24.2,20.96,,2.11,1.49,1.78,2.04,1.99,2.24,1.66,1.95,2.13,2.31,23.21,25.1,27.05,15.32,39.04,17.3,16.4,18.44,23.35,15.31,P2143380,938.7,59.3,59.3,,P2143381,3329.4,392.4,391.3,,0,yes,W/L in order,,,,
PIC8_240123,Picnic_bay,-19.17996897,146.838989,8,24/01/2023,Halophila ovalis,HO,P2143382,3,P2143383,18.23,,22.28,,26.85,,,,,,,,,,,,,,,,P2143383,9.85,,12.51,,13.95,,15.21,,,,,,,,,,,,,,3.96,6.1,6.58,6.48,,,,,,,P2143383,19.06,8.67,5.43,,,,,,,,,,0.65,0.64,1.17,1.19,0.93,0.71,,,,,10.66,12.54,13.67,15.49,9.22,14.11,,,,,P2143384,119.2,7.9,7.8,,P2143385,148.8,7.6,7.5,,0,yes,W/L in order,,,,
PIC9_240123,Picnic_bay,-19.18059401,146.838818,9,24/01/2023,Thalassia hemprichii,TH,P2023011,13,P2023012,68.58,,48.84,,69.72,,49.04,,30.36,C,48.92,C,73.37,,55.03,,65.53,,51.29,,P2023013,55.05,,40.36,,31.05,,53.92,,75.31,,58.38,,33.49,,50.82,,66.92,,53.62,,6.01,6.2,3.24,2.78,6.28,6.46,6.05,5.2,4.86,2.81,P2023014,38.09,40.07,21.5,28.77,27.44,56.27,29.77,,23.65,21.72,32.67,,2.51,2.33,1.63,1.78,2.25,2.3,3.75,2.82,1.9,,46.42,27.2,28.19,36.76,,,,,,,P2023015,12953.4,719.5,721.8,,P2023016,7877.9,750.9,740,,0,yes,W/L in order,Some tiny shell/rock are in below ground part. They were removed before second weight measurement (7.0mg),,,
PIC9_240123,Picnic_bay,-19.18059401,146.838818,9,24/01/2023,Cymodocea serrulata,CS,P2023017,4,P2023018,67.21,,47.38,,84.6,C,39.92,,,,,,,,,,,,,,P2023019,68.52,,40.33,,38.38,,44.38,,37.11,C,41.78,C,,,,,,,,,5.55,5.68,3.7,6.02,6.53,6.17,,,,,P2023017,31.99,29.21,52.28,65.97,37.27,9.68,17.19,,19.67,23.05,59.78,,1.46,1.89,1.93,1.7,1.43,1.87,,,,,26.91,22.45,5.61,12.2,34.43,6.25,8.96,,,,P2023022,3832.4,83,81.9,,P2023023,4143.7,161.8,160.6,,0,yes,W/L in order,"Leaf tip photo for sp ID: P2023020, P2023021",Lots of branching roots,,
PIC9_240123,Picnic_bay,-19.18059401,146.838818,9,24/01/2023,Holudule uninervis wide,HUW,P2023024,21,P2023025,80.29,,68.87,,76.43,C,73.36,,47.33,,63.9,,49.74,,68.1,,35.84,C,45.36,,P2023026,51.06,,59.88,,32.85,,46.65,,56.73,,60.33,,26.5,,36.62,,46.75,,25.53,,2.52,2.5,2.55,2.3,2.78,2.61,2.64,2.3,2.6,2.2,P2023025,37.55,18.84,45.08,75.4,45.85,16.26,54.01,,37.27,21.91,57.07,,0.82,0.82,0.85,0.83,0.92,0.78,1.01,0.56,0.65,0.89,19.72,17.46,15.71,15.69,10.25,19.1,13.98,5.48,8.91,16.77,P2023027,2439.4,140.7,141.7,,P2023028,5043.8,437.4,437.9,,0,yes,W/L in order,,,,
PIC10_240123,Picnic_bay,-19.18049896,146.838667,10,24/01/2023,Cymodocea serrulata,CS,P2023030,9,P2023031,81.75,,67.51,C,47.35,C,52.49,C,30.98,,39.72,C,60.25,C,55.82,C,48.88,,,,P2023032,31.43,C,81.43,,34.49,,56.7,C,56.72,C,49.44,,21.68,,56.67,C,52.19,C,48.35,C,5.93,5.86,5.99,5.85,6.12,4.56,5.53,6.32,6.65,2.56,P2023031,103.87,34.15,80.08,58.37,56.88,46.23,18.9,,45.14,154.91,32.3,,2.02,1.73,2.02,2.17,1.44,1.33,1.54,2.02,,,11.92,8.41,11.27,16.27,27.77,19.28,32.46,,,,P2023033,2034.5,127.6,129.1,,P2023034,2728.3,278,277.3,,0,yes,W/L in order,Photo for all speices in the sample: P2023029,,,
PIC10_240123,Picnic_bay,-19.18049896,146.838667,10,24/01/2023,Holudule uninervis wide,HUW,P2023035,76,P2023036,67.19,,31.03,,55.77,,52.06,,39.44,,45.04,C,46.06,C,60.44,,22.29,C,28.45,C,P2023037,56.83,,34.31,,22.75,,53.27,,25.47,,43.07,,45.52,,51.01,,30.19,,44.72,,3.38,2.46,3.42,2.85,2.81,3.11,3.23,3.4,3.01,3.36,P2023036,106.96,43.29,65.33,36.74,46.49,74.21,40.39,,31.54,21.5,51.62,,0.94,0.83,0.84,0.76,0.85,0.84,0.96,0.72,0.89,0.99,15.21,8.84,9.31,6.5,12.52,7.08,5.17,3.16,9.65,5,P2023038,7671.2,435.7,434.7,,P2023039,36005.2,3605.5,3596.3,,0,yes,W/L in order,Below ground part tangled with shells. Mostly cleaned,,,
PIC10_240123,Picnic_bay,-19.18049896,146.838667,10,24/01/2023,Halophila ovalis,HO,P2023040,12,P2023041,29.17,,26.2,,31.19,,30.02,,26,,24.26,,14.92,,31.87,,26.44,C,9.37,,P2023041,16.91,,17.87,,18.58,,14.52,,14.77,,9.21,,9.89,,7.54,,,,,,6.9,9.69,9.6,5.82,6.96,3.94,6.43,5.19,,,P2023041,13.57,16.95,21.73,12.55,19.42,16.14,11.08,,14.86,16.58,14.71,,0.59,0.71,0.71,0.99,1.25,1.1,0.82,1.05,0.94,0.99,15.89,16,22.16,13.21,18.21,16.14,11.48,11.5,13.68,,P2023042,487.3,29.7,29.4,,P2023043,866.1,48.7,47.9,,0,yes,W/L in order,Tiny rokcs stick on the roots. It seems that HO roots secret some special mocus to stick in the sediment,,,
PIC10_240123,Picnic_bay,-19.18049896,146.838667,10,24/01/2023,Thalassia hemprichii,TH,P2023044,6,P2023045,92.33,,68.77,C,44.34,C,30.57,,66.55,C,,,,,,,,,,,P2023046,64.83,B,56.03,B,73.45,C,57.44,C,90.33,,19.49,C,37.39,C,66.54,,,,,,5.95,5.97,5.89,6.28,5.2,2.56,6.22,6.32,,,P2023045,19.78,29.19,25.58,64.36,11.18,37.43,14.58,,14.98,20.4,56.73,,3.09,2.35,3.37,2.88,,,,,,,20,20.52,10.43,,,,,,,,P2023047,7297.3,311.1,311.2,,P2023048,8347.8,554.2,552.5,,0,yes,W/L in order,,,,
PIC11_240123,Picnic_bay,-19.18029604,146.838567,11,24/01/2023,Holudule uninervis narrow,HUN,P2023049,139,P2023050,66.6,,65.54,,61.02,,43.27,,64.38,,39.51,,79.84,,34.43,,62.68,,67.09,,P2023051,65.84,,63.31,,29.56,,42.35,,61.62,,36.25,,14.03,,17.52,,63.72,,23.45,,1.02,0.98,1.05,0.93,1,0.93,1.05,1.08,1.01,0.78,P2023050,36.75,22.05,9.24,76.7,109.06,56.44,35.65,,41.91,26.02,40.19,,0.79,0.78,0.52,0.52,0.61,0.39,0.48,0.35,0.84,0.7,17.83,16.18,8.25,9.68,8.91,8.95,7.14,12.14,13.29,10.86,P2023052,3884.9,265.4,267.8,,P2023053,6742,637.8,638.7,,0,yes,W/L in order,Labels in the photo are wrong (PAL11). The labels in dry samples were corrected.,,,
GEO1_061122,Geoffery_bay,-19.15257398,146.865128,1,6/11/2022,Holudule uninervis narrow,HUN,P2033054,76,P2033055,30.66,,54.36,,30.45,,42.31,,58.39,,54.64,,76.98,,58.09,,58.45,,40.46,,P2033056,48.22,,18.56,,24.8,,79.79,,37.46,,30.48,,29.3,,58.71,,53.07,,30.93,,0.59,0.54,0.66,0.39,0.59,0.33,0.34,0.36,0.38,0.39,P2033055,26.01,27.42,62.8,49.42,46.51,51.92,87.74,,23.06,51.02,24.61,,0.72,0.53,0.68,0.88,0.74,0.64,0.6,0.75,0.42,0.5,20.1,7.42,14.61,16.34,14.12,29.43,20.18,12.28,11.71,19.92,P2033057,1243.5,39.3,39.1,,P2033058,3341.4,183.6,184.1,,0,yes,W/L in order,,,,
GEO2_061122,Geoffery_bay,-19.15255596,146.865348,2,6/11/2022,Holudule uninervis narrow,HUN,P2033059,228,P2033060,62.77,,60.29,,60.96,,52.39,,37.62,,27.77,,37.57,,46.99,,49.13,,61.27,,P2033061,15.75,,43.99,,37.53,,30.71,,63.76,,33.81,,26.78,,29.33,,26.27,,48.44,,0.48,0.29,0.19,0.31,0.31,0.5,0.4,0.58,0.26,0.5,P2033060,56.23,40.51,19.97,42.16,39.48,67.78,73.98,,13.98,54.46,28.89,,0.93,0.63,0.7,0.53,0.58,0.39,0.46,0.31,0.32,0.31,19.68,8.66,13.01,16.63,11.47,5.67,5.18,17.2,13.95,4.47,P2033062,4219.8,147.1,146.5,,P2033063,20991.6,1333,1334.3,,0,yes,W/L in order,,,,
GEO2_061122,Geoffery_bay,-19.15255596,146.865348,2,6/11/2022,Halophila ovalis,HO,P2033064,5,P2033065,8.71,,12.31,,22.93,,24.39,,31.33,,,,,,,,,,,,P2033065,10.64,,10.86,,10.13,,10.84,,10.95,,11.2,,10.43,,6.98,,10.06,,9.49,,4.86,6.5,6.21,6.31,6.44,6.4,6.72,4.25,6.61,5.61,P2033065,43.79,63.22,52.29,37.64,28.44,,,,,,,,0.95,1.06,0.76,0.86,,,,,,,15.6,22.9,25.56,20.28,,,,,,,P2033066,176.8,8.7,8.6,,P2033067,164.4,12.8,12.5,,0,yes,W/L in order,,,,
GEO3_061122,Geoffery_bay,-19.15246099,146.865199,3,6/11/2022,Holudule uninervis narrow,HUN,P2033068,210,P2033069,86.24,,101.02,,38.36,,49.57,,16.71,,25.54,,17.1,,27.49,,19.84,,28.31,,P2033071,66.78,,35.15,,33.62,,26.05,,97.04,,39.68,,28.24,,25.07,,17.06,,33.02,,0.33,0.33,0.3,0.33,0.33,0.41,0.23,0.28,0.25,0.31,P2033069,52.38,111.12,31.43,45.79,42.25,38.59,38.61,,28.38,24.18,39.5,,0.7,0.72,0.4,0.61,0.39,0.35,0.51,0.67,0.38,0.36,10.52,8.76,11,11.43,9.98,5.83,17.26,15.47,10.26,10.91,P2033072,2260.8,55.8,55.4,,P2033073,8651.1,526.8,526.7,,0,yes,W/L in order,Width measured on ImageJ -> Measured,,,
COC1_100922,Cockle_bay,-19.174854,146.826966,1,10/09/2022,Holudule uninervis wide,HUW,P2043074,5,P2043075,54.93,,54.15,,37.17,,46.44,,,,,,,,,,,,,,P2043076,48.71,,52.97,,25.41,,35.53,,45.44,,26.32,C,19.21,,,,,,,,2.71,2.7,2.67,2.13,2.74,2.73,2.41,,,,P2043075,32.61,24.23,16.3,18.3,30.54,44.57,32.84,,18.97,31.3,38.19,,1.27,1.02,1.31,1.28,1.04,1.1,1.1,,,,28.97,32.64,11.17,21.66,27.62,,,,,,P2043077,312.1,21.3,21.4,,P2043078,609.1,64.8,64.1,,0,yes,W/L in order,,,,
COC1_100922,Cockle_bay,-19.174854,146.826966,1,10/09/2022,Halophila ovalis,HO,P2043079,34,P2043081,12.68,,9.27,,12.31,,15.26,,13.28,,13.7,,13.76,,15.83,,11.66,,8.77,,P2043081,7.35,,8.41,,8.66,,8.32,,9.27,,7.74,,8.18,,8.85,,4.65,,7.6,,5.71,6.31,5.28,6.27,5.74,6.09,6.16,6.44,3.64,6.15,P2043081,25.71,35.32,25.07,32.11,33.73,12.79,29.36,,13.27,39,13.61,,0.69,0.6,0.66,0.52,0.91,0.77,0.54,0.83,0.62,0.79,24.3,27.31,28.92,25.9,23.39,31.71,21.63,14.44,8.57,8.45,P2043082,530.2,28,28.1,,P2043083,646.3,30.7,30.2,,0,yes,W/L in order,,,,
COC2_100922,Cockle_bay,-19.17496498,146.827158,2,10/09/2022,Cymodocea serrulata,CS,P2043084,3,P2043085,65.33,,53.28,,49.13,,,,,,,,,,,,,,,,P2043086,42.14,,19,,45.98,,25.92,,51.98,,45.22,,68.31,,15.43,,,,,,5.96,5.86,6.2,5.93,6.49,5.66,6.29,5.42,,,P2043085,13.16,25.71,53.76,66.6,38.51,44.2,43.16,,26.54,39.38,,,2.15,1.83,1.84,1.43,,,,,,,16.16,29.25,21.28,10.87,,,,,,,P2043087,533.7,61.6,61.8,,P2043088,671.4,63.4,62.6,,0,yes,W/L in order,,,,
COC2_100922,Cockle_bay,-19.17496498,146.827158,2,10/09/2022,Holudule uninervis wide,HUW,P2043090,20,P2043092,42.64,,19.68,,48.63,,37.52,,29.69,,42.61,,50.21,,59.69,,33.51,,38.48,,P2043093,34.83,,28.17,,19.62,,28.32,,34.18,,19.8,,41.24,,32.12,,13.49,,45.25,,2.76,2.94,2.64,2.61,2.51,1.74,2.64,2.28,2.23,2.82,P2043092,10.61,60.03,38.24,22.46,29.91,22.02,34.06,,38.58,23.06,24.31,,1.48,1.58,1.4,1.51,1.11,1.06,1.12,0.8,0.57,0.93,7.72,16.45,15.88,14.7,8.3,26.3,12.43,21.79,8.74,23.86,P2043094,1243,89.2,88.4,,P2043095,3021.9,258.4,255.6,,0,yes,W/L in order,,,,
COC4_100922,Cockle_bay,-19.17522599,146.827357,4,10/09/2022,Holudule uninervis wide,HUW,P2043096,26,P2043097,61.74,,29.73,,50.13,,38.25,,25.23,,25.1,,26.43,,28.23,,48.81,,35.54,,P2043098,20.09,,25.32,,21.93,,26.8,,37.71,,29.68,,53.26,,40.42,,24.53,,27.92,,2.64,2.75,2.33,2.63,2.67,2.81,2.6,2.98,2.22,2.44,P2043097,8.56,28.89,41.42,42.6,31.91,22.68,15.15,,53.52,27.6,9.46,,1,0.94,1.01,1.04,1.08,0.69,1.08,1.27,0.81,1.01,15.75,18.22,16.44,24.38,11.21,17.88,31.47,24.74,12.32,11.18,P2043099,1614.5,107.8,107.2,,P2043100,2814.3,266.8,265,,0,yes,W/L in order,Skip COC3 because only CS and HO in sample,,,
ZC1_081022,Cape_cleveland,-19.23215797,147.004703,1,8/10/2022,Zostera muelleri subsp. Capricorni,ZC,P2053101,27,P2053102,146.88,,114.25,C,115.47,,117.52,,78.21,,87.18,,59.86,,79.96,C,114.08,C,159.8,L,P2053103,85.69,,56.5,,120.13,,50.84,,135.25,,196,L,145.02,C,122.18,C,112.05,,149.68,,1.85,1.81,2.72,3.28,3.47,3.32,3.22,2.38,2.94,3.44,P2053104,142.88,45.42,51.83,95.41,39.33,26.3,16.56,,140.78,71.04,185.8,L,1.86,1.66,1.36,1.12,1.32,1.5,1.58,1.52,1.23,1.57,23.79,39.5,14.83,19.99,7.61,21.66,20.46,26.86,18.63,25.24,P2053105,11385.7,775.7,779.2,,P2053106,4743.5,358.6,362.5,,2,yes,W/L in order,,,,
ZC1_081022,Cape_cleveland,-19.23215797,147.004703,1,8/10/2022,Cymodocea serrulata,CS,P2053107,4,P2053108,58.91,,147.66,,109.03,C,133.97,C,,,,,,,,,,,,,P2053109,49.07,,47.83,,124.7,C,109.88,C,94.77,C,114.83,C,150.71,,51.62,,55.69,,,,6.25,6.75,7.14,6.82,6.92,6.86,6.5,4.39,6.39,,P2053111,37.49,60.01,153.08,43.25,61.18,55.06,191,L,,,,,2.2,2.64,2.14,2.42,,,,,,,35.52,52.71,47.93,,,,,,,,P2053112,2434.1,158.7,158.9,,P2053113,1747.7,122.8,121.1,,0,yes,W/L in order,Many branching roots,,,
ZC1_081022,Cape_cleveland,-19.23215797,147.004703,1,8/10/2022,Cymodocea serrulata drop leave,CSDL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P2053114,976.8,74.2,74,,,,,,,,,"Photo store in ""ZC1_08102022_CS""","Droping leaves, looks old. Might br from the sediment. Weighted seperately.",,,
ZC2_081022,Cape_cleveland,-19.23215797,147.004703,2,8/10/2022,Zostera muelleri subsp. Capricorni,ZC,P2053116,37,P2053117,152.56,C,41.49,,43.78,,58.41,C,146.07,,125.98,,150.69,C,152.33,C,135.53,C,210,"C, L",P2053118,105.21,,38.79,,30.56,,19.08,,71.62,F,77.91,F,153.78,,139.29,,189.5,L,76.54,,3.23,1.64,1.75,1.69,2.59,3.01,3.36,3.02,4.24,3.54,P2053119,110.29,25.95,21.45,75.33,41.68,51.05,49.74,,25.17,22.56,33.49,,1,1.44,0.7,0.81,1.03,1.22,1.46,1.66,,,24.75,13,8.93,29.51,24.41,29.69,26.33,20.81,,,P2053122,24973.8,1408.7,1403.4,,P2053123,27144.3,1506.5,1502.6,,10,yes,W/L in order,Lots of dead plant parts. Photo: P2053115 left tray,"Typical rhizomes are rare compared with number of shoots in the sample (photo: P2053120, P2053121). Many single shoots with flower/seed. Maybe a reporductive strategy?",,
ZC3_081022,Cape_cleveland,-19.23215797,147.004703,3,8/10/2022,Holudule uninervis narrow,HUN,P2053124,3,P2053125,138,C,88.89,C,28.56,,,,,,,,,,,,,,,,P2053128,111.77,C,80.93,C,51.22,C,28.93,,28.05,,,,,,,,,,,,0.89,0.95,0.84,0.78,0.79,,,,,,P2053125,34.08,71.14,67.89,16.68,44.61,24.18,57.11,,21.42,39.86,24.31,,1.02,1.01,1.1,,,,,,,,28.87,23.89,,,,,,,,,P2053129,82.2,7.6,7.4,,P2053130,171.1,17.8,17.7,,0,yes,W/L in order,Only one rhizome. Photo for species ID: P2053126,,,
